Company,Role,Job Type,Eligible Branches,Minimum CGPA,Location,CTC (LPA),Stipend (Monthly INR),Required Skills,Selection Process
Incedo,Cybersecurity Analyst,FTE,"COE,COPC,ECE",8.0,Remote,51.78,60000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Embedded Engineer,Intern+FTE,B.E. All Branches,6.5,Gurugram,40.12,100000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
JP Morgan Chase,Software Development Engineer,Intern,"COE,COPC,ECE,EIC,EEC",9.0,Noida,12.38,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Expedia,Business Analyst,FTE,B.E. All Branches,9.0,Noida,28.36,70000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Microsoft,QA Engineer,FTE,"COE,COPC,ECE,ENC",8.0,Chennai,43.31,30000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Software Development Engineer,FTE,"COE,COPC,COBS",8.5,Bengaluru,12.15,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",9.0,Bengaluru,23.85,70000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Intel,Frontend Engineer,FTE,"COE,COPC,COBS",9.0,Mumbai,32.0,100000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Software Development Engineer,FTE,B.E. All Branches,8.0,Bengaluru,51.1,60000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
American Express,Cybersecurity Analyst,Intern,"COE,COPC,ECE",7.0,Bengaluru,43.02,70000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Zomato,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.0,Hyderabad,39.83,40000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Data Scientist,Intern,"COE,COPC,ECE,ENC",7.5,Hyderabad,44.08,70000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Wipro,Full Stack Developer,Intern+FTE,B.E. All Branches,7.0,Pune,26.07,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Meesho,AI/ML Engineer,Intern,"COE,COPC,COBS",8.0,Bengaluru,48.39,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
TCS,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",9.0,Gurugram,14.32,70000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Bengaluru,13.74,30000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Infosys,Business Analyst,Intern,"COE,COPC",7.0,Bengaluru,44.54,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Siemens,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Gurugram,53.08,70000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Google,Cybersecurity Analyst,FTE,"COE,COPC,ECE",6.5,Gurugram,66.53,50000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Razorpay,DevOps Engineer,Intern,"COE,COPC,ECE,ENC",6.5,Pune,23.23,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Backend Engineer,Intern,"COE,COPC,ECE",8.0,Chennai,6.82,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE",6.0,Gurugram,20.64,60000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Expedia,AI/ML Engineer,Intern+FTE,"COE,COPC",7.5,Bengaluru,35.19,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.5,Remote,8.91,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Expedia,AI/ML Engineer,Intern,"COE,COPC,COBS",8.0,Pune,22.87,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Oracle,Embedded Engineer,FTE,"COE,COPC,ECE,EIC,EEC",8.5,Remote,31.29,100000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
TCS,Full Stack Developer,FTE,"COE,COPC,ECE,ENC",7.5,Pune,57.16,40000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
AMD,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.0,Hyderabad,23.84,70000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
TCS,Backend Engineer,Intern+FTE,"COE,COPC,ECE,ENC",9.0,Chennai,24.98,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",9.0,Hyderabad,12.88,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Swiggy,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.0,Mumbai,41.07,60000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.0,Chennai,19.16,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
American Express,Embedded Engineer,FTE,B.E. All Branches,8.5,Noida,37.91,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Nutanix,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",8.0,Remote,42.16,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Swiggy,DevOps Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Hyderabad,11.27,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.5,Bengaluru,43.02,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Oracle,Full Stack Developer,Intern,"COE,COPC,ECE",8.5,Pune,50.12,150000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
EPAM,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.5,Chennai,21.74,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Paytm,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.0,Hyderabad,48.89,60000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Apple,Software Development Engineer,FTE,"COE,COPC",7.0,Bengaluru,58.18,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Microsoft,Embedded Engineer,FTE,"COE,COPC",6.5,Mumbai,88.62,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
AMD,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.5,Mumbai,27.29,70000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Maq Software,Full Stack Developer,Intern+FTE,"COE,COPC,ECE",8.0,Mumbai,41.77,100000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Accenture,Business Analyst,Intern+FTE,"COE,COPC",6.0,Bengaluru,14.33,40000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Flipkart,Embedded Engineer,Intern+FTE,"COE,COPC",6.5,Mumbai,53.78,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Infosys,Embedded Engineer,Intern+FTE,"COE,COPC,COBS",8.0,Mumbai,38.64,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Cloud Engineer,Intern+FTE,"COE,COPC,COBS",8.0,Bengaluru,26.77,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Cloud Engineer,FTE,"COE,COPC,COBS",8.0,Chennai,40.39,125000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Amazon,Software Development Engineer,Intern,B.E. All Branches,7.5,Hyderabad,36.68,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Flipkart,Embedded Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Hyderabad,45.49,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Cloud Engineer,FTE,B.E. All Branches,6.0,Chennai,40.06,30000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Maq Software,Software Development Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.5,Chennai,31.32,125000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Optum,AI/ML Engineer,FTE,"COE,COPC,ECE",6.0,Gurugram,57.87,60000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Dell,Cybersecurity Analyst,Intern+FTE,B.E. All Branches,6.0,Gurugram,20.06,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Cybersecurity Analyst,Intern,"COE,COPC,ECE",8.0,Hyderabad,7.47,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Data Scientist,FTE,"COE,COPC,ECE,ENC",6.0,Hyderabad,13.16,60000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Pune,55.15,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Embedded Engineer,Intern,"COE,COPC,ECE,ENC",6.0,Pune,18.75,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.5,Remote,51.23,80000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Dell,QA Engineer,FTE,"COE,COPC",8.5,Gurugram,15.03,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.0,Remote,8.84,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
HCLTech,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.5,Mumbai,18.62,80000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Microsoft,Data Scientist,Intern,"COE,COPC",8.0,Chennai,54.17,70000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Incedo,Cybersecurity Analyst,FTE,"COE,COPC,ECE,ENC",7.0,Hyderabad,55.57,60000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
BlackRock,QA Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Noida,37.55,100000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Cognizant,AI/ML Engineer,FTE,B.E. All Branches,6.0,Bengaluru,42.6,40000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Atlassian,Software Development Engineer,FTE,"COE,COPC,ECE",8.5,Gurugram,59.14,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Full Stack Developer,Intern,"COE,COPC",8.0,Noida,7.84,150000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,QA Engineer,Intern,B.E. All Branches,6.5,Mumbai,12.58,30000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,QA Engineer,Intern,"COE,COPC,ECE,EIC,EEC",6.5,Gurugram,36.57,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Mumbai,41.67,30000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
AMD,QA Engineer,FTE,"COE,COPC,ECE",9.0,Hyderabad,47.57,70000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Software Development Engineer,Intern,"COE,COPC,ECE,ENC",9.0,Gurugram,26.67,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.5,Remote,9.75,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Frontend Engineer,Intern+FTE,B.E. All Branches,8.5,Hyderabad,35.19,80000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
EPAM,Embedded Engineer,Intern,"COE,COPC",8.0,Gurugram,19.99,25000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Cloud Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Bengaluru,7.01,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Amazon,QA Engineer,FTE,"COE,COPC,COBS",8.0,Bengaluru,27.09,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.5,Hyderabad,56.76,100000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Maq Software,Full Stack Developer,Intern,B.E. All Branches,8.0,Chennai,6.18,100000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Zomato,QA Engineer,Intern,"COE,COPC,ECE,ENC",8.0,Chennai,22.35,25000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Oracle,Cloud Engineer,Intern+FTE,"COE,COPC,ECE",8.0,Bengaluru,47.06,60000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Deloitte,QA Engineer,Intern,"COE,COPC,ECE,EIC,EEC",8.5,Chennai,16.31,80000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Wipro,Backend Engineer,Intern+FTE,"COE,COPC,ECE",6.0,Noida,53.8,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Google,Embedded Engineer,Intern,B.E. All Branches,8.5,Gurugram,40.5,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Wipro,DevOps Engineer,Intern,"COE,COPC",7.0,Bengaluru,58.11,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Zomato,Embedded Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Remote,8.31,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Siemens,DevOps Engineer,Intern+FTE,"COE,COPC",6.0,Pune,14.04,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Wipro,QA Engineer,Intern,"COE,COPC,ECE",8.5,Pune,7.03,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Microsoft,Frontend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.5,Hyderabad,83.8,30000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Backend Engineer,Intern+FTE,"COE,COPC",9.0,Noida,32.85,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Incedo,AI/ML Engineer,FTE,"COE,COPC",8.5,Pune,49.82,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Full Stack Developer,Intern+FTE,"COE,COPC,ECE,ENC",6.0,Hyderabad,47.27,150000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,FTE,B.E. All Branches,6.5,Remote,46.91,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.0,Remote,8.2,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Oracle,Software Development Engineer,FTE,"COE,COPC,COBS",8.5,Remote,6.39,30000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
AMD,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Pune,17.13,60000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Expedia,Embedded Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Gurugram,8.03,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
IBM,Business Analyst,Intern+FTE,"COE,COPC",8.0,Hyderabad,6.25,50000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Expedia,AI/ML Engineer,Intern+FTE,"COE,COPC,COBS",9.0,Noida,52.59,125000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Pune,16.46,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,Software Development Engineer,FTE,"COE,COPC,ECE",7.5,Gurugram,8.92,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Zomato,Cybersecurity Analyst,Intern,"COE,COPC",8.5,Bengaluru,49.48,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Maq Software,Frontend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Hyderabad,14.53,25000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Embedded Engineer,FTE,"COE,COPC,COBS",6.5,Chennai,30.02,150000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Backend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",7.5,Noida,23.61,30000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC",7.5,Pune,9.97,150000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
American Express,Cybersecurity Analyst,FTE,"COE,COPC,ECE",7.5,Noida,30.57,80000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Cisco,AI/ML Engineer,FTE,"COE,COPC,ECE",6.0,Bengaluru,58.68,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Chennai,12.0,100000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Data Scientist,Intern+FTE,B.E. All Branches,8.0,Noida,38.6,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Oracle,Business Analyst,Intern+FTE,B.E. All Branches,7.5,Remote,52.28,100000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Software Development Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Noida,45.42,50000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Apple,Frontend Engineer,Intern,"COE,COPC",7.5,Bengaluru,83.39,80000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Incedo,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Hyderabad,27.29,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Software Development Engineer,Intern+FTE,"COE,COPC,ECE",7.0,Gurugram,43.43,80000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.0,Pune,59.94,25000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
SAP,Cloud Engineer,Intern,"COE,COPC,COBS",7.5,Pune,52.33,150000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
SAP,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",8.5,Bengaluru,15.99,70000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Cisco,Backend Engineer,Intern,"COE,COPC,ECE,ENC",7.5,Gurugram,26.78,70000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
AMD,Cybersecurity Analyst,Intern,B.E. All Branches,7.0,Bengaluru,35.29,50000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Capgemini,QA Engineer,Intern,"COE,COPC,COBS",7.0,Remote,25.66,25000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Expedia,Software Development Engineer,Intern,B.E. All Branches,8.5,Noida,25.74,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Uber,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",9.0,Noida,32.38,100000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Swiggy,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.0,Hyderabad,54.49,125000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Accenture,AI/ML Engineer,Intern,"COE,COPC,COBS",8.5,Gurugram,30.43,125000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
EPAM,Cybersecurity Analyst,Intern+FTE,"COE,COPC,COBS",6.0,Hyderabad,25.88,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,Frontend Engineer,Intern,"COE,COPC,ECE",7.0,Hyderabad,21.57,30000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
AMD,Frontend Engineer,Intern,"COE,COPC,ECE,ENC",7.5,Pune,32.8,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
TCS,AI/ML Engineer,FTE,"COE,COPC,ECE",6.0,Bengaluru,28.69,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
